year,avg_temp,max_temp,min_temp,humidity,precipitation,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,agri_land_sqkm,co2_transport_mt,fert_consumption_kg_ha
2013,12.71,17.66,7.5,72.32,83.18,47.031410064935066,41.28915202020202,141.0788642857143,123.86745779220779,421.7202108225108,371.6023744227994,118.97800101010101,120.56576565656565,123.80354314574315,41210.0,1.8753,54.8748465693149
2014,12.51,17.82,7.3,71.9,95.98,44.68232041847042,41.28915202020202,133.85509848484847,123.86745779220779,400.18210223665227,371.6023744227994,106.52419181096681,107.43074971139971,105.81953167388168,41210.0,2.1308,68.9652483690816
2015,12.67,17.77,7.73,73.26,71.47,40.14437038239538,41.28915202020202,120.69714116161616,123.86745779220779,363.68493387445886,371.6023744227994,108.42559805194806,111.01692056277058,113.84577622655124,41210.0,1.8084,77.0867835300316
2016,13.56,18.91,8.49,72.97,92.04,44.97106471861472,41.28915202020202,134.90534116161618,123.86745779220779,405.8785755411256,371.6023744227994,100.15069646464647,100.02920595238096,101.39818434343434,41210.0,3.0419,78.9440155842005
2017,13.24,18.62,8.23,73.82,105.43,39.27223174603174,41.28915202020202,117.81636367243868,123.86745779220779,353.00296901154405,371.6023744227994,93.55276302308802,93.25040003607504,90.8131646103896,41210.0,3.7423,70.4015645854131
2018,12.9,18.18,7.94,72.67,88.42,43.13658185425685,41.28915202020202,129.37846352813852,123.86745779220779,388.18223899711404,371.6023744227994,99.36535530303031,98.9168042929293,97.24052225829726,41210.0,4.0302,94.9419097495845
2019,12.62,17.86,7.64,73.44,103.5,40.68064152236652,41.28915202020202,121.46305873015872,123.86745779220779,362.48579065656565,371.6023744227994,113.48727323232322,113.8067480880231,113.17271727994229,41210.0,2.4949,97.0055873700847
2020,12.47,17.43,7.76,75.18,115.06,46.40892424242424,41.28915202020202,139.82551547619047,123.86745779220779,421.80033625541125,371.6023744227994,119.37154321789322,123.73066053391054,130.07674307359306,41210.0,3.9669,115.325540266482
2021,13.09,18.18,8.26,74.83,90.77,48.831357070707064,41.28915202020202,145.98208012265513,123.86745779220779,435.04611699134205,371.6023744227994,111.21885256132757,109.63419971139972,103.90852067099567,41210.0,4.3764,112.610654393996
2022,13.25,18.33,8.48,75.12,81.49,41.900269877344876,41.28915202020202,126.24325898268398,123.86745779220779,381.66592525252526,371.6023744227994,104.36564145021646,104.06893946608946,111.68070876623376,41210.0,4.6119,67.8431755183502
2023,13.17,18.43,8.1,73.24,71.51,36.619854329004326,41.28915202020202,109.7963549062049,123.86745779220779,328.97496417748914,371.6023744227994,91.45509606782106,89.44962467532467,84.89767142857143,41210.0,4.7638,67.8431755183502
2024,13.17,18.43,8.1,73.24,94.31,37.76868596681097,41.28915202020202,113.27657481962481,123.86745779220779,340.1416514069264,371.6023744227994,86.42289769119769,85.61944458874459,84.47728401875902,41210.0,4.7638,67.8431755183502
2025,13.17,18.43,8.1,73.24,94.31,5.913985064935065,9.106034415584416,12.688004545454545,24.20402818181818,30.989304285714283,56.526068961038966,77.24431532467533,68.52676467532467,64.77148766233766,41210.0,4.7638,67.8431755183502
